Brand,Ram,Rom,Extended_Memory,Battery_capacity(mAh),Processor,Price
POCO,6,64,512,6000,Qualcomm Snapdragon 662 Processor,12999
POCO,6,64,512,6000,Qualcomm Snapdragon 662 Processor,12999
REDMI,4,64,512,5000,MediaTek Helio G25 Processor,9999
realme,3,32,256,6000,MediaTek Helio G85 Processor,9999
realme,4,64,256,6000,MediaTek Helio G85 Processor,10999
realme,3,32,256,6000,MediaTek Helio G85 Processor,9999
REDMI,6,64,512,5020,Qualcomm Snapdragon 720G Processor,18999
REDMI,4,64,512,5000,MediaTek Helio G25 Processor,9999
realme,2,32,256,5000,MediaTek Helio G35 Processor,7999
realme,2,32,256,5000,MediaTek Helio G35 Processor,7999
Infinix,3,32,256,6000,Mediatek Helio A25 Processor,9999
Infinix,3,32,256,6000,Mediatek Helio A25 Processor,9999
realme,4,128,256,5000,Qualcomm Snapdragon 662 Processor,14999
Infinix,3,32,256,6000,Mediatek Helio A25 Processor,9999
REDMI,4,64,512,5000,MediaTek Helio G25 Processor,9999
realme,3,32,256,6000,Mediatek Helio G35 Processor,10999
realme,3,32,256,6000,Mediatek Helio G35 Processor,10999
realme,4,64,256,6000,MediaTek Helio G85 Processor,12999
GIONEE,2,32,256,5000,Octa Core Processor,7990
GIONEE,2,32,256,5000,Octa Core Processor,7990
POCO,3,32,512,5000,Mediatek Helio G35 Processor,9999
POCO,6,64,512,6000,Qualcomm Snapdragon 732G Processor,19999
POCO,6,64,512,5000,Qualcomm Snapdragon 720G Processor,17999
POCO,6,64,512,6000,Qualcomm Snapdragon 662 Processor,12999
realme,4,64,256,5000,MediaTek Helio G35 Processor,10999
realme,4,64,256,5000,MediaTek Helio G35 Processor,10999
realme,3,32,256,5000,MediaTek Helio G35 Processor,9999
realme,3,32,256,5000,MediaTek Helio G35 Processor,9999
Nokia,,0.04,,800,,7990
GIONEE,2,32,256,5000,Octa Core Processor,12999
realme,4,64,256,6000,MediaTek Helio G85 Processor,11999
realme,4,128,256,6000,MediaTek Helio G70 Processor,11999
realme,4,128,256,6000,MediaTek Helio G70 Processor,13999
REDMI,4,64,,6000,Qualcomm Snapdragon 662 Processor,11999
POCO,4,64,512,5000,MediaTek Helio G80 Processor,11999
REDMI,4,64,512,5020,MediaTek Helio G80 Processor,14999
POCO,6,128,512,6000,Qualcomm Snapdragon 662 Processor,13999
REDMI,4,64,,6000,Qualcomm Snapdragon 662 Processor,11999
MOTOROLA,4,64,1000,5000,MediaTek Helio G25 Processor,16999
REDMI,6,128,,6000,Qualcomm® Snapdragon™ 662 Processor,13999
Nokia,,0.04,,800,,13999
Infinix,6,128,256,5200,MediaTek Helio G70 Processor,20999
Infinix,6,128,256,5200,MediaTek Helio G70 Processor,7999
SAMSUNG,6,128,512,6000,Exynos 9611 Processor,7999
Infinix,2,32,256,5000,MediaTek Helio A20 Processor,7999
Infinix,2,32,256,5000,MediaTek Helio A20 Processor,1599
realme,4,64,256,6000,MediaTek Helio G70 Processor,10999
POCO,4,64,512,5000,Mediatek Helio G35 Processor,10999
POCO,6,128,512,5000,Qualcomm Snapdragon 720G Processor,19999
Infinix,6,128,256,5200,MediaTek Helio G70 Processor,13999
Infinix,6,128,256,5200,MediaTek Helio G70 Processor,13999
REDMI,4,64,,6000,Qualcomm Snapdragon 662 Processor,10990
POCO,4,64,512,5000,MediaTek Helio G80 Processor,11999
POCO,6,64,512,6000,Qualcomm Snapdragon 732G Processor,19999
realme,4,64,256,6000,Qualcomm Snapdragon 460 Processor,12999
realme,4,64,256,6000,Qualcomm Snapdragon 460 Processor,12999
realme,8,128,,4310,MediaTek Dimensity 800U Processor,23999
Nokia,,0.04,,800,,1349
realme,8,128,256,4500,Qualcomm Snapdragon 720G Processor,21999
APPLE,,,,,,39900
Nokia,,0.04,,800,,18999
realme,8,128,256,4500,MediaTek Helio G95 Processor,10990
OPPO,3,32,256,4230,,11990
OPPO,4,64,256,4230,,10990
OPPO,3,32,256,4230,,10990
OPPO,3,32,256,4230,,11990
OPPO,4,64,256,4230,,10990
OPPO,3,32,256,4230,,1319
LAVA,,0.03,32,1750,,849
LAVA,,0.032,32,1200,MTK6261D Processor,1999
LAVA,,0.032,32,1200,MTK6261D Processor,2029
Infinix,2,32,256,6000,MediaTek Helio G25 Processor,8999
Infinix,2,32,256,6000,MediaTek Helio G25 Processor,8999
Infinix,2,32,256,6000,MediaTek Helio G25 Processor,8999
Infinix,2,32,256,6000,MediaTek Helio G25 Processor,8999
POCO,6,128,512,6000,Qualcomm Snapdragon 662 Processor,14999
REDMI,4,64,512,5020,MediaTek Helio G80 Processor,11999
realme,6,64,256,5000,MediaTek Dimensity 800U Processor,18999
LAVA,,0.032,32,1750,,1849
LG,4,64,256,5000,MediaTek Helio G35 Processor,16000
POCO,6,128,1000,5160,Qualcomm Snapdragon 860 Processor,23999
realme,8,128,,4310,MediaTek Dimensity 800U Processor,23999
POCO,6,128,512,5000,Qualcomm Snapdragon 720G Processor,19999
LAVA,,,,800,,1129
LAVA,,,,800,,1159
Infinix,4,64,256,5200,MediaTek Helio G70 Processor,11999
Infinix,4,64,256,5200,MediaTek Helio G70 Processor,11999
realme,3,32,256,6000,Qualcomm Snapdragon 460 Processor,11999
MOTOROLA,6,128,,6000,Qualcomm Snapdragon 732G Processor,21999
POCO,3,32,512,5000,Mediatek Helio G35 Processor,9999
SAMSUNG,6,128,512,6000,Exynos 9611 Processor,20999
BlackZone,,0.01,32,1000,,849
MOTOROLA,4,64,512,6000,Qualcomm Snapdragon 662 Processor,15999
MOTOROLA,2,32,1000,5000,MediaTek Helio G25 Processor,9999
REDMI,4,64,512,5020,MediaTek Helio G85 Processor,14999
POCO,6,128,512,6000,Qualcomm Snapdragon 662 Processor,14999
realme,4,64,256,6000,MediaTek Helio G85 Processor,10999
realme,4,64,256,5000,Qualcomm Snapdragon 662 Processor,13999
realme,4,64,256,5000,Qualcomm Snapdragon 662 Processor,13999
Infinix,3,32,256,6000,Mediatek Helio A25 Processor,9999
realme,4,64,256,6000,Mediatek Helio G35 Processor,10999
realme,4,64,256,6000,MediaTek Helio G70 Processor,10999
realme,4,64,256,6000,Mediatek Helio G35 Processor,10999
realme,4,128,256,5000,Qualcomm Snapdragon 662 Processor,12999
POCO,6,64,512,5000,MediaTek Helio G80 Processor,13999
realme,4,128,256,6000,MediaTek Helio G85 Processor,54900
APPLE,,,,,,16999
realme,6,64,256,4500,MediaTek Helio G95 Processor,16999
POCO,4,64,512,5000,Qualcomm Snapdragon 720G Processor,14999
POCO,6,128,512,5000,MediaTek Helio G80 Processor,13999
realme,4,128,256,6000,MediaTek Helio G85 Processor,21999
realme,6,128,,4310,MediaTek Dimensity 800U Processor,21999
realme,6,128,,4310,MediaTek Dimensity 800U Processor,18999
realme,8,128,256,4500,MediaTek Helio G95 Processor,16999
realme,6,64,256,4500,MediaTek Helio G95 Processor,11999
realme,3,32,256,6000,Qualcomm Snapdragon 460 Processor,11990
POCO,3,32,512,5000,Mediatek Helio G35 Processor,9999
POCO,6,128,512,5000,Qualcomm Snapdragon 720G Processor,19999
MOTOROLA,6,128,,6000,Qualcomm Snapdragon 732G Processor,19999
Itel,3,32,128,4000,Unisoc SC9863A Octa Core Processor,8299
realme,6,64,256,5000,MediaTek Dimensity 800U Processor,18999
OPPO,6,128,256,5000,,17990
LAVA,,0.032,32,1750,,1849
realme,8,128,256,5000,MediaTek Helio G95 Processor,18999
POCO,6,128,1000,5160,Qualcomm Snapdragon 860 Processor,23999
ViVO,3,32,256,5000,Snapdragon 439 Processor,13990
Google,6,128,,3140,Qualcomm Snapdragon 730G Processor,31999
Nokia,,,,,,14999
MOTOROLA,4,64,,5000,Snapdragon 662 Processor,17999
realme,6,128,256,5000,MediaTek Helio G95 Processor,17999
realme,6,128,256,5000,MediaTek Helio G95 Processor,16999
realme,4,128,256,5000,MediaTek Helio G95 Processor,16999
realme,4,128,256,5000,MediaTek Helio G95 Processor,11999
Nokia,,0.04,32,1020,MediaTek Processor,21999
realme,3,32,256,6000,Qualcomm Snapdragon 460 Processor,11999
MOTOROLA,6,128,,6000,Qualcomm Snapdragon 732G Processor,11999
Infinix,4,64,256,5200,MediaTek Helio G70 Processor,11999
Infinix,4,64,256,5200,MediaTek Helio G70 Processor,849
LAVA,1,16,256,4120,UniSoC SC9832E Processor,16949
LAVA,1,16,256,4120,UniSoC SC9832E Processor,39900
SAMSUNG,4,128,512,6000,,9290
Apple,,,,,,16990
SAMSUNG,3,32,,3400,,20990
Redmi,2,32,256,4000,Qualcomm Snapdragon 439 Processor,20990
OPPO,4,128,256,4020,,8000
OPPO,4,128,256,4000,,4999
OPPO,4,128,256,4000,,5999
Redmi,2,32,128,3000,Mediateck Processor,15500
TCL,2,16,32,2500,MSM 8909 Processor,21990
Itel,1,16,128,2350,Cortex A55 architecture (Octa core) Processor,29999
Itel,2,16,128,2350,,94900
Redmi,4,128,,5000,MediaTek Helio G35 Processor,10999
Redmi,4,64,,5000,MediaTek Helio G35 Processor,1499
Micromax,,0.032,,800,,13999
LAVA,,0.03,32,1750,,54900
SAMSUNG,4,128,512,6000,Exynos 850 Processor,12999
APPLE,,,,,,9999
SAMSUNG,,,,,,21990
SAMSUNG,,0.02,16,1000,0 0 0 0 Processor Processor,18999
MOTOROLA,4,64,,6000,Snapdragon 460 Processor,18999
Infinix,3,32,256,6000,Mediatek Helio A25 Processor,21999
ViVO,8,128,1000,5000,Qualcomm Snapdragon 662 Processor,23999
realme,8,128,256,5000,MediaTek Helio G95 Processor,21999
realme,6,64,256,5000,MediaTek Dimensity 800U Processor,25999
realme,6,128,,4310,MediaTek Dimensity 800U Processor,10999
realme,8,128,,4310,MediaTek Dimensity 800U Processor,839
realme,6,128,,4310,MediaTek Dimensity 800U Processor,1949
POCO,8,128,1000,5160,Qualcomm Snapdragon 860 Processor,2499
Infocus,1,8,,2400,,5499
Redmi,6,64,256,4000,Qualcomm Snapdragon 636 Processor,11999
BLU,2,16,64,2450,Cortex-A53 MT6735 Processor,52900
LAVA,,0.512,32,1400,Spreadtrum SPR7715 Processor,28990
LAVA,,0.512,32,1400,Spreadtrum SPR7715 Processor,11290
Motorola,4,64,512,4000,MediaTek Helio P70 Processor,119900
Mi,6,64,,4820,Qualcomm® Snapdragon™ 750G Processor,44900
Redmi,4,64,256,4000,Qualcomm Snapdragon 660 AIE Processor,83000
SAMSUNG,3,32,512,4000,MediaTek MT6762 Processor,22990
Apple,,,,,,6999
OPPO,8,128,,4000,,45000
SAMSUNG,3,32,,5000,,59900
KARBONN,,,,,,1390
realme,6,64,256,5000,MediaTek Helio G95 Processor,17999
Kechaoda,,0.064,32,3600,,2499
Micromax,,0.032,,3000,,14999
Micromax,,0.032,8,600,,17999
realme,3,32,256,5000,Helio G70 Processor,9999
POCO,6,128,512,5000,MediaTek Helio G80 Processor,19999
realme,6,64,256,4300,,5002
Infinix,3,32,256,6000,Mediatek Helio A25 Processor,13999
POCO,6,128,512,4500,Qualcomm Snapdragon 730G Processor,13999
Panasonic,2,16,256,3000,MediaTek Processor,13999
realme,4,64,256,5000,Helio G70 Processor,869
realme,4,64,256,5000,Qualcomm Snapdragon 662 Processor,10999
realme,4,64,256,5000,Qualcomm Snapdragon 662 Processor,9999
Infinix,6,64,256,6000,MediaTek Helio G85 Processor,12499
Itel,,0.04,32,1000,SC6531E Processor,1099
LAVA,3,32,128,3950,Octa Core Processor,1099
Redmi,2,32,,5000,,8499
Salora,,0.032,,1000,Spreadtrum Processor,11999
MOTOROLA,4,64,1000,5000,MediaTek Helio G25 Processor,12955
REDMI,4,64,512,5020,MediaTek Helio G85 Processor,7999
Tecno,2,32,256,5000,MediaTek Helio A20 Quad Core Processor,7999
Tecno,2,32,256,5000,MediaTek Helio A20 Quad Core Processor,7999
Tecno,2,32,256,5000,MediaTek Helio A20 Quad Core Processor,849
KARBONN,,0.032,16,1000,,8499
Redmi,2,32,,5000,,7499
Redmi,2,32,,5000,,9499
Redmi,3,32,512,5000,MediaTek Helio G25 Processor,9999
GIONEE,3,32,256,6000,Octa Core Processor,9999
GIONEE,3,32,256,6000,Octa Core Processor,1099
SAMSUNG,,,,,,1099
Kechaoda,,0.032,,850,,16999
Kechaoda,,0.032,,850,,1390
POCO,4,64,512,5000,Qualcomm Snapdragon 720G Processor,18990
KARBONN,,,,,,12999
OPPO,8,128,1000,5000,,12999
Infinix,4,64,256,6000,MediaTek Helio G85 Processor,12999
Infinix,4,64,256,6000,MediaTek Helio G85 Processor,8999
Infinix,4,64,256,6000,MediaTek Helio G85 Processor,12999
OPPO,8,128,1000,5000,,18990
Infinix,4,64,256,6000,MediaTek Helio G85 Processor,12999
Infinix,4,64,256,6000,MediaTek Helio G85 Processor,12999
Infinix,4,64,256,6000,MediaTek Helio G85 Processor,12999
SAMSUNG,4,64,512,6000,Exynos 850 Processor,12999
KARBONN,,0.032,16,1000,,849
MOTOROLA,6,128,,6000,Qualcomm Snapdragon 732G Processor,21999
REDMI,6,128,,6000,Qualcomm® Snapdragon™ 662 Processor,16999
Itel,,0.04,32,1000,SC6531E Processor,835
Snexian,,0.032,,800,,809
Itel,,0.04,32,1000,SC6531E Processor,14999
Itel,,0.04,32,1000,SC6531E Processor,5999
realme,4,128,256,5000,Qualcomm Snapdragon 662 Processor,19999
Itel,2,32,32,3020,Unisoc 9832E Quad Core Processor,1090
realme,6,128,256,4500,Qualcomm Snapdragon 720G Processor,10499
KARBONN,,0.032,,1750,,20490
SAMSUNG,3,32,1000,5000,Qualcomm Snapdragon 450 (SDM450-F01) Processor,20490
ViVO,6,128,1000,5000,Qualcomm Snapdragon 662 Processor,1599
ViVO,6,128,1000,5000,Qualcomm Snapdragon 662 Processor,17999
LAVA,,0.032,64,2575,,1849
realme,6,64,256,5000,MediaTek Helio G95 Processor,12999
GFive,,0.032,,1000,,2499
Kechaoda,,0.064,32,3600,,1450
Micromax,,0.032,,3000,,849
GREENBERRI,,0.064,32,1050,,869
BlackZone,,0.064,,1000,,829
LAVA,,0.03,32,620,,8199
OPPO,4,64,256,4230,,25990
OPPO,4,64,256,4230,,975
I,,0.064,,1500,,11450
Redmi,3,32,512,5000,MediaTek Helio G25 Processor,6099
KARBONN,,0.032,32,800,,1159
OPPO,8,128,256,4015,,14799
Itel,,0.04,32,1000,SC6531E Processor,5999
Itel,2,32,32,3020,Unisoc 9832E Quad Core Processor,5999
SAMSUNG,,,,,,1199
Kechaoda,,0.032,,850,,1199
Kechaoda,,0.032,,850,,15490
Nokia,,,32,1020,0 0 0 0 Processor Processor,14999
ViVO,3,64,256,5000,Qualcomm Snapdragon 439 Processor,16499
SAMSUNG,3,32,,5000,MediaTek MT6739 Processor,16499
Micromax,4,64,256,5000,MediaTek Helio G80 Processor,21999
Micromax,6,128,256,5000,MediaTek Helio G80 Processor,1849
Micromax,6,128,256,5000,MediaTek Helio G80 Processor,17499
realme,8,128,256,5000,MediaTek Dimensity 800U Processor,16499
Kechaoda,,0.032,,300,,17990
ViVO,3,32,256,5000,Snapdragon 439 Processor,15990
Kechaoda,,0.064,32,400,,15990
LAVA,,0.032,32,1700,,18999
SAMSUNG,6,128,512,6000,Samsung Exynos 9 Octa 9611 Processor,16999
REDMI,4,128,512,5020,MediaTek Helio G85 Processor,18999
OPPO,6,128,256,5000,,15999
REDMI,4,128,,6000,Qualcomm Snapdragon 662 Processor,15999
Redmi,4,64,512,5000,Qualcomm Snapdragon 439 Processor,10779
